ID,Material,Name,Density,Embodied Carbon
143,Concrete,Concrete GEN 3 with 30% PFA cement,2370.0,216.97172047401838
144,Concrete,Concrete RC20/25 with 30% PFA cement,2380.0,235.32779929579948
145,Concrete,Concrete RC25/30 with 30% PFA cement,2380.0,249.99280108839997
146,Concrete,Concrete RC28/35 with 30% PFA cement,2380.0,269.14634008839994
147,Concrete,Concrete RC32/40 with 30% PFA cement,2380.0,297.8154561123
148,Concrete,Concrete RC35/45 with 30% PFA cement,2380.0,315.8899734821937
149,Concrete,Concrete RC40/50 with 30% PFA cement,2380.0,337.7518743790086
150,Concrete,Concrete PAV1 with 30% PFA cement,2380.0,268.33955603555563
151,Concrete,Concrete PAV2 with 30% PFA cement,2380.0,298.59055625080106
152,Concrete,Concrete GEN0 with 40% PFA cement,2370.0,123.965323338495
153,Concrete,Concrete GEN1 with 40% PFA cement,2370.0,167.7041599120004
154,Concrete,Concrete GEN 2 with 40% PFA cement,2370.0,180.257695228932
155,Concrete,Concrete GEN 3 with 40% PFA cement,2370.0,192.83279112893203
156,Concrete,Concrete RC20/25 with 40% PFA cement,2380.0,208.8747949944226
157,Concrete,Concrete RC25/30 with 40% PFA cement,2380.0,221.4646790761467
158,Concrete,Concrete RC28/35 with 40% PFA cement,2380.0,234.75584008840002
159,Concrete,Concrete RC32/40 with 40% PFA cement,2380.0,259.29809611229996
160,Concrete,Concrete RC35/45 with 40% PFA cement,2380.0,274.7589354821937
161,Concrete,Concrete RC40/50 with 40% PFA cement,2380.0,293.4569103790086
162,Concrete,Concrete PAV1 with 40% PFA cement,2380.0,234.06369103555573
163,Concrete,Concrete PAV2 with 40% PFA cement,2380.0,259.8547525934282
164,Concrete,Concrete GEN0 with 25% GGBS cement,2365.0,130.27435545093712
165,Concrete,Concrete GEN1 with 25% GGBS cement,2365.0,243.31689901854568
166,Concrete,Concrete GEN 2 with 25% GGBS cement,2360.0,191.62017940809002
167,Concrete,Concrete GEN 3 with 25% GGBS cement,2360.0,205.20296215586774
168,Concrete,Concrete RC20/25 with 25% GGBS cement,2395.0,225.5685764911062
169,Concrete,Concrete RC25/30 with 25% GGBS cement,2395.0,239.73975745673994
170,Concrete,Concrete RC28/35 with 25% GGBS cement,2395.0,257.08476021276135
171,Concrete,Concrete RC32/40 with 25% GGBS cement,2395.0,288.2423084236683
172,Concrete,Concrete RC35/45 with 25% GGBS cement,2395.0,309.83751714378997
173,Concrete,Concrete RC40/50 with 25% GGBS cement,2395.0,331.3248846436858
174,Concrete,Concrete PAV1 with 25% GGBS cement,2395.0,257.5958496186377
175,Concrete,Concrete PAV2 with 25% GGBS cement,2395.0,288.3197492217678
176,Concrete,Concrete GEN0 with 50% GGBS cement,2360.0,95.9233428901695
177,Concrete,Concrete GEN1 with 50% GGBS cement,2360.0,216.63501314278975
178,Concrete,Concrete GEN 2 with 50% GGBS cement,2350.0,137.13087863887202
179,Concrete,Concrete GEN 3 with 50% GGBS cement,2350.0,146.253587043462
180,Concrete,Concrete RC20/25 with 50% GGBS cement,2390.0,162.1621738368324
